japanese,copies,id,en,score,ja_ex,ko,zh,action
口調,3,2275,tone,25,彼の口調は優しいです。,말투,口气,DISCARD
気配,3,1275,Presence,25,猫がいる気配がします。,기척,气息,KEEP
気配,3,1769,Presence,25,部屋に誰かの気配がする。,기척,气息,DISCARD
気配,3,3303,indication *DIFF*,25,彼の様子から、何か秘密がある気配がした。,징후,迹象,DISCARD
一切,3,1306,anything,25,私は一切知りません。,일절,一概,KEEP
一切,3,1766,anything,25,私は一切食べません。,일절,什么,DISCARD
一切,3,2756,all *DIFF*,25,一切の質問に答えます。,모든,所有,DISCARD
交渉,3,1323,negotiated,25,私たちは価格の交渉をしました。,협상,谈判,KEEP
交渉,3,1562,negotiated,25,私たちは価格について交渉しました。,협상,谈判,DISCARD
交渉,3,3586,negotiations *DIFF*,25,会社との給与について交渉する予定です。,협상,谈判,DISCARD
厳めしい,3,1359,stern,25,先生は厳めしい顔をしています。,엄한,严肃,KEEP
厳めしい,3,1831,stern,25,先生はいつも厳めしい顔をしています。,엄한,板着脸,DISCARD
厳めしい,3,2319,stern,25,先生はいつも厳めしい顔をしています。,엄한,板着脸,DISCARD
潔い,3,1360,frankly,25,彼は潔く罪を認めました。,깨끗하게,坦率地,KEEP
潔い,3,1822,manfully *DIFF*,25,彼は潔く負けを認めた。,쿨하게,干脆地,DISCARD
潔い,3,2237,gracefully *DIFF*,25,彼は潔く負けを認めた。,깨끗하게,干脆地,DISCARD
乏しい,3,1368,little,25,経験が乏しいです。,부족,不足,KEEP
乏しい,3,1504,scarce *DIFF*,25,私のお金は乏しいです。,부족합니다,很少,DISCARD
乏しい,3,4806,meagre *DIFF*,25,その国の天然資源は乏しく、輸入に大きく依存している。,빈약한,微薄,DISCARD
鮮やか,3,1377,vivid,25,花は鮮やかです。,선명,鲜艳,KEEP
鮮やか,3,2179,vivid,25,花の色は鮮やかです。,선명합니다,鲜艳,DISCARD
鮮やか,3,2602,vivid,25,彼女が描いた花の絵は、その色使いがとても鮮やかだった。,생생한,生动的,DISCARD
几帳面,3,1381,Meticulous,25,田中さんは几帳面な人です。,꼼꼼한,一丝不苟,KEEP
几帳面,3,1869,Meticulous,25,田中さんは几帳面な人です。,꼼꼼한,一丝不苟,DISCARD
几帳面,3,3292,methodical *DIFF*,25,彼はとても几帳面な人で、いつも計画通りに物事を進めます。,체계적인,有条不紊,DISCARD
侮る,3,1388,underestimate,25,弱い相手を侮るな。,얕보지,轻视,KEEP
侮る,3,1847,underestimate,25,弱いチームを侮るな。,얕보지,轻视,DISCARD
侮る,3,2265,looks down on *DIFF*,25,彼は相手を侮る。,얕본다,轻视,DISCARD
遮る,3,1402,Block,25,木が太陽を遮る。,가린다,遮挡,KEEP
遮る,3,2025,Block,25,木が光を遮る。,가린다,挡,DISCARD
遮る,3,3749,to interrupt *DIFF*,25,彼は私の話を遮った。,방해하다,打断,DISCARD
緩む,3,1418,loosen,25,ネジが緩む。,풀리다,松了,KEEP
緩む,3,1813,loosen,25,ねじが緩む。,풀리다,松,DISCARD
緩む,3,5709,to become loose *DIFF*,25,ネジが緩むと機械の故障の原因になることがあります。,느슨해지다,变松,DISCARD
安静,3,1421,rest,25,病院で安静にしてください。,안정,休息,KEEP
安静,3,1676,rest,25,病院では安静にしてください。,안정,安静,DISCARD
安静,3,2678,rest,25,医者は彼にしばらく安静にするように言った。,휴식,休息,DISCARD
予め,3,1449,in advance,25,予め、電話で予約してください。,미리,事先,KEEP
予め,3,1724,in advance,25,予め、準備してください。,미리,提前,DISCARD
予め,3,2654,beforehand *DIFF*,25,会議の前に、資料を予め読んでおいてください。,미리,事先,DISCARD
発足,3,1452,Launch,25,新しいチームが発足しました。,발족,成立,KEEP
発足,3,2231,Launch,25,新しいチームが発足しました。,발족,成立,DISCARD
発足,3,5083,starting *DIFF*,25,新しいプロジェクトは来月発足します。,시작,开始,DISCARD
ぼやける,3,1461,Blurry,25,メガネがなくて、字がぼやける。,흐릿하게,模糊,KEEP
ぼやける,3,1717,Blurry,25,めがねがないと、字がぼやける。,흐릿해져요,模糊,DISCARD
ぼやける,3,5440,to become dim *DIFF*,25,目が疲れてきて、画面の文字がぼやけて見えにくい。,희미해지다,变暗,DISCARD
キャリア,3,1465,Career,25,彼女は長いキャリアを持っています。,경력,职业,KEEP
キャリア,3,1743,Career,25,彼女は長いキャリアを持っています。,경력,职业,DISCARD
キャリア,3,5874,career,25,彼女はIT業界で素晴らしいキャリアを築いた。,커리어,职业生涯,DISCARD
清々しい,3,1475,Refreshing,25,朝は清々しいです。,상쾌하다,令人神清气爽,KEEP
清々しい,3,1721,Refreshing,25,朝は空気がすが清々しいです。,상쾌합니다,清新,DISCARD
清々しい,3,2041,refreshing,25,朝の空気は清々しいです。,상쾌합니다,令人神清气爽,DISCARD
てっきり,3,1478,sure,25,てっきり彼は来ないと思いました。,당연히,一直以为,KEEP
てっきり,3,1904,I thought *DIFF*,25,てっきり彼は来ないと思いました。,영락없이,我当时想,DISCARD
てっきり,3,4685,surely *DIFF*,25,てっきり終わったと思っていた仕事が、まだ残っていた。,분명히,肯定,DISCARD
一概に,3,1507,always,25,一概に日本のアニメは子供向けだとは言えません。,일괄적으로,一概而论,KEEP
一概に,3,2329,In general *DIFF*,25,高いものが一概に良いとは限りません。,일률적으로,一般来说,DISCARD
一概に,3,2737,unconditionally *DIFF*,25,すべての人が努力すれば成功できると一概に言うことはできない。,무조건적으로,无条件地,DISCARD
ルーズ,3,1508,loose,25,彼は時間にルーズです。,루즈합니다,松散,KEEP
ルーズ,3,1959,loose,25,彼は時間にルーズです。,느슨합니다,松散,DISCARD
ルーズ,3,6023,loose,25,彼は約束にルーズなので、あまり信用できない。,느슨한,松的,DISCARD
一面,3,1525,covered with,25,公園は一面の花です。,온통,到处,KEEP
一面,3,1760,covered with,25,公園は一面の花です。,온통,到处,DISCARD
一面,3,2748,one side *DIFF*,25,その話は真実の一面を表しているに過ぎない。,한쪽,一面,DISCARD
だぶだぶ,3,1538,Baggy,25,このシャツはだぶだぶです。,헐렁합니다,宽松,KEEP
だぶだぶ,3,1903,Baggy,25,このシャツはだぶだぶです。,헐렁,宽松,DISCARD
だぶだぶ,3,4506,loose *DIFF*,25,このズボンは私にはだぶだぶで、少し丈が長い。,헐렁한,宽松,DISCARD
ゆとり,3,1545,leeway,25,ゆとりのある生活を送りたいです。,여유,宽裕,KEEP
ゆとり,3,1707,leeway,25,週末はゆとりのある時間が必要です。,여유,宽裕,DISCARD
ゆとり,3,5705,reserve *DIFF*,25,忙しい時でも心にゆとりを持ちたい。,예비,储备,DISCARD
取り締まる,3,1594,crack down,25,警察はスピード違反を取り締まる。,단속합니다,取缔,KEEP
取り締まる,3,1622,crack down,25,警察はスピード違反を取り締まる。,단속합니다,取締,DISCARD
取り締まる,3,4822,to manage *DIFF*,25,警察はスピード違反を厳しく取り締まる方針です。,관리하다,管理,DISCARD
シック,3,1641,chic,25,彼女の服はシックです。,시크합니다,别致,KEEP
シック,3,2118,chic,25,彼女の服はシックです。,시크,别致,DISCARD
シック,3,5897,chic,25,彼女はいつもシックな服装で、注目を集めています。,시크한,时尚,DISCARD
肝心,3,1647,important,25,肝心なことは、あきらめないことです。,핵심,关键,KEEP
肝心,3,2013,important,25,一番肝心なことは時間です。,중요,肝,DISCARD
肝心,3,3192,essential *DIFF*,25,プロジェクトを成功させるためには、チームワークが肝心です。,필수적인,必需的,DISCARD
ややこしい,3,1653,complicated,25,この問題はややこしいです。,복잡합니다,复杂,KEEP
ややこしい,3,2039,complicated,25,この問題はややこしいです。,복잡합니다,复杂,DISCARD
ややこしい,3,5678,puzzling *DIFF*,25,この説明はややこしいので、もう一度詳しく教えていただけますか？,수수께끼 같은,令人费解,DISCARD
愚か,3,1654,foolish,25,彼は愚かなことをしました。,어리석은,愚蠢,KEEP
愚か,3,1840,foolish,25,彼を信じるのは愚かだった。,어리석은,愚蠢,DISCARD
愚か,3,3010,foolish,25,そんな愚かな間違いをしないでください。,어리석은,愚蠢的,DISCARD
貶す,3,1666,criticize,25,彼はいつも私の服を貶す。,헐뜯다,贬低,KEEP
貶す,3,2299,belittle *DIFF*,25,彼はいつも友達を貶す。,깎아내린다,贬低,DISCARD
貶す,3,3510,to speak ill of *DIFF*,25,人のことを貶すのはやめなさい。,험담하다,说坏话,DISCARD
過疎,3,1673,depopulation,25,この村は過疎が進んでいます。,과소,过疏,KEEP
過疎,3,2279,depopulation,25,この村は過疎が進んでいます。,과소,过疏,DISCARD
過疎,3,3104,depopulation,25,彼は過疎の村を活性化させるために活動している。,인구 감소,人口减少,DISCARD
台無し,3,1675,ruin,25,雨でピクニックが台無しになった。,엉망,泡汤了,KEEP
台無し,3,1786,ruin,25,雨でピクニックが台無しになった。,엉망이,泡汤,DISCARD
台無し,3,4492,mess *DIFF*,25,彼のたった一つの失敗が、長年の努力を台無しにしてしまった。,엉망,混乱,DISCARD
改修,3,1688,renovated,25,この建物は来月改修されます。,개수,改修,KEEP
改修,3,1715,Renovation *DIFF*,25,この家は改修が必要です。,개수,改修,DISCARD
改修,3,3030,repair *DIFF*,25,この施設は老朽化が進んでおり、大規模な改修が計画されています。,수리,维修,DISCARD
敢えて,3,1700,on purpose,25,敢えて言いません。,굳이,故意,KEEP
敢えて,3,2108,on purpose,25,敢えて言いません。,굳이,故意,DISCARD
敢えて,3,2571,dare (to do) *DIFF*,25,彼は敢えて危険を冒して、その計画を実行した。,감히,敢,DISCARD
根気,3,1765,Perseverance,25,宿題には根気が大切です。,끈기,耐心,KEEP
根気,3,2287,Perseverance,25,根気があれば、できます。,끈기,毅力,DISCARD
根気,3,3694,patience *DIFF*,25,この研究を完成させるには、かなりの根気が必要です。,인내,耐心,DISCARD
仰ぐ,3,1774,Look up,25,空を仰ぐ。,우러러보다,仰望,KEEP
仰ぐ,3,2292,Look up,25,空を仰ぐ。,우러러보다,仰望,DISCARD
仰ぐ,3,2572,to look up (to) *DIFF*,25,人々は彼の知恵と勇気を仰いだ。,우러러보다,敬仰,DISCARD
阻む,3,1776,blocking,25,雨が道を阻む。,막는다,阻挡,KEEP
阻む,3,2014,blocks *DIFF*,25,壁が道を阻む。,막는다,阻挡,DISCARD
阻む,3,5098,to keep someone from doing *DIFF*,25,母親は彼が夜遅くまで出かけるのを阻んだ。,~하는 것을 막다,阻止某人做某事,DISCARD
歪む,3,1779,distort,25,地震で家が歪む。,찌그러진다,扭曲,KEEP
歪む,3,2015,warped *DIFF*,25,地震で建物が歪む。,휘어졌다,扭曲,DISCARD
歪む,3,2696,to warp *DIFF*,25,古い木のドアは湿気で歪んでしまった。,뒤틀리다,翘曲,DISCARD
執着,3,1791,clinging,25,彼女は過去のことに執着している。,집착,执着,KEEP
執着,3,2209,attached *DIFF*,25,彼は過去の出来事に執着している。,집착,执着于,DISCARD
執着,3,3952,attachment *DIFF*,25,彼は古い習慣に執着し、新しい変化を受け入れようとしない。,애착,依恋,DISCARD
根回し,3,1801,Groundwork,25,会議の前に、根回しをしました。,사전교섭,铺垫,KEEP
根回し,3,1997,Groundwork,25,会議の前に、根回しをしました。,사전교섭,事先沟通,DISCARD
根回し,3,4995,making necessary arrangements *DIFF*,25,会議の前に、重要な議題について根回しをしておく必要がある。,필요한 준비를 하다,做必要的安排,DISCARD
省みる,3,1804,Reflect,25,今日あったことを省みる。,되돌아본다,反省,KEEP
省みる,3,2291,Reflect,25,今日一日を省みる。,되돌아본다,反思,DISCARD
省みる,3,3050,to reflect *DIFF*,25,自分の行動を省みるべきだ。,반성하다,反思,DISCARD
案の定,3,1875,As expected,25,案の定、雨が降ってきた。,아니나다를까,果然,KEEP
案の定,3,2208,As expected,25,遅れると思ったけど、案の定、遅刻した。,역시나,果然,DISCARD
案の定,3,2679,sure enough *DIFF*,25,雨が降りそうだと話していたら、案の定、午後に降り始めた。,과연,果然,DISCARD
やにわに,3,1887,Suddenly,25,雨がやにわに降り出した。,갑자기,突然,KEEP
やにわに,3,2106,Suddenly,25,雨がやにわに降り出した。,갑자기,突然,DISCARD
やにわに,3,2308,Suddenly,25,雨がやにわに降り出した。,갑자기,突然,DISCARD
ユニーク,3,1943,unique,25,彼のアートはとてもユニークです。,독특,独特,KEEP
ユニーク,3,2117,unique,25,彼女のアイデアはユニークです。,독특합니다,独特,DISCARD
ユニーク,3,6018,unique,25,彼のデザインはいつもとてもユニークだ。,독특한,独特,DISCARD
割合,3,1985,proportion,25,りんごの割合は多いです。,비율,比例,KEEP
割合,3,2253,proportion,25,このケーキのイチゴの割合は多いです。,비율,比例,DISCARD
割合,3,2510,proportion,25,りんごの割合が多いです。,비율,比例,DISCARD
専ら,3,2103,exclusively,25,私は専ら日本語を勉強しています。,오로지,仅,KEEP
専ら,3,2255,exclusively,25,彼は専らゲームをしています。,오로지,专门,DISCARD
専ら,3,5628,wholly *DIFF*,25,彼女は専ら読書と映画鑑賞に時間を費やしている。,전적으로,完全,DISCARD
試みる,3,2268,try,25,私はそれを試みる。,시도할,尝试,KEEP
試みる,3,2501,try,25,私はそれを試みる。,시도할,尝试,DISCARD
試みる,3,3643,to try *DIFF*,25,彼は今まで誰も試みたことのない困難な課題に挑戦した。,시도하다,尝试,DISCARD
堪える,3,3657,to bear,25,私はその屈辱に堪えることができなかった。,참다,忍受,KEEP
堪える,3,3688,to bear,25,彼は痛みに堪えることができなかった。,참다,忍受,DISCARD
堪える,3,4420,to bear,25,彼は痛みに堪えて走り続けた。,참다,忍受,DISCARD
騒動,2,6,commotion,25,小さなことで騒動が起きました。,소동,骚动,KEEP
騒動,2,4329,strife *DIFF*,25,その突然の発表が大きな騒動を引き起こした。,갈등,纷争,DISCARD
率直,2,7,frank,25,彼女はいつも率直です。,솔직합니다,率直,KEEP
率直,2,4352,frankness *DIFF*,25,彼の率直な意見は、いつも会議を活気づける。,솔직함,坦率,DISCARD
治療,2,15,treatment,25,私は病院で治療を受けます。,치료,治疗,KEEP
治療,2,4587,medical treatment *DIFF*,25,医者は患者の病気の治療方針を決めました。,치료,治疗,DISCARD
着陸,2,16,landed,25,飛行機は空港に着陸しました。,착륙했습니다,着陆了,KEEP
着陸,2,4539,landing *DIFF*,25,飛行機は無事に滑走路に着陸した。,착륙,着陆,DISCARD
追跡,2,24,track down,25,警察は犯人を追跡します。,추적합니다,追踪,KEEP
追跡,2,4594,pursuit *DIFF*,25,警察は容疑者の行方を追跡している。,추적,追捕,DISCARD
途中,2,29,on the way,25,私は学校に行く途中で、友達に会いました。,도중에,途中,KEEP
途中,2,4625,on the way,25,家に帰る途中、コンビニに寄りました。,가는 중,在路上,DISCARD
逃亡,2,37,fled,25,犯人は海外へ逃亡しました。,도망쳤습니다,逃往,KEEP
逃亡,2,4755,escape *DIFF*,25,彼は警察の追跡を逃れて逃亡した。,탈출,逃脱,DISCARD
動揺,2,38,shaken,25,彼女はニュースを聞いて、少し動揺しました。,동요했습니다,动摇,KEEP
動揺,2,4863,disturbance *DIFF*,25,彼の突然の辞任のニュースは、社内に大きな動揺を与えた。,혼란,扰乱,DISCARD
燃料,2,49,fuel,25,車は燃料が必要です。,연료,燃料,KEEP
燃料,2,5004,fuel,25,車の燃料が残り少なくなってきた。,연료,燃料,DISCARD
破壊,2,51,destroy,25,建物を破壊しないでください。,파괴,破坏,KEEP
破壊,2,5046,destruction *DIFF*,25,戦争は都市に甚大な破壊をもたらした。,파괴,破坏,DISCARD
漠然,2,55,vague,25,将来の夢はまだ漠然としています。,막연합니다,模糊,KEEP
漠然,2,5137,obscure *DIFF*,25,彼の話は漠然としていて、何を言いたいのかよく分からなかった。,모호한,晦涩,DISCARD
爆破,2,57,blow up,25,建物を爆破します。,폭파합니다,爆破,KEEP
爆破,2,5139,blast *DIFF*,25,警察は爆破予告を受けて、建物から人々を避難させた。,폭발,爆炸,DISCARD
反射,2,60,reflects,25,光が鏡に反射する。,반사된다,反射,KEEP
反射,2,5122,reflection *DIFF*,25,光が水面に反射して美しかった。,반사,反射,DISCARD
避難,2,63,evacuate,25,大雨が降っています。避難してください。,피난하세요,避难,KEEP
避難,2,5198,taking refuge *DIFF*,25,住民は津波警報を受けて高台へ避難した。,피난처를 찾다,避难,DISCARD
敏感,2,67,sensitive,25,彼女は肌が敏感です。,민감합니다,敏感,KEEP
敏感,2,5229,sensibility *DIFF*,25,彼女は環境の変化にとても敏感だ。,감성,感性,DISCARD
不振,2,68,sluggish,25,売り上げは不振です。,부진합니다,不振,KEEP
不振,2,5259,dullness *DIFF*,25,経済の不振が続き、多くの企業が苦境に立たされています。,지루함,沉闷,DISCARD
不評,2,69,unpopular,25,その映画は不評でした。,평판이 좋지 않았습니다,不受欢迎,KEEP
不評,2,5273,bad reputation *DIFF*,25,その新しいレストランはサービスが悪く、すぐに不評を買った。,나쁜 평판,坏名声,DISCARD
武装,2,72,armed,25,兵士はライフルで武装した。,무장,武装,KEEP
武装,2,5299,arms *DIFF*,25,兵士たちは完全な武装で出発した。,무기,武器,DISCARD
復活,2,73,made a comeback,25,そのチームは復活しました。,부활했습니다,复活了,KEEP
復活,2,5264,revival (e.g. musical) *DIFF*,25,その伝説的なバンドは、10年間の活動休止を経てついに復活を遂げた。,재공연,复排,DISCARD
紛争,2,74,Conflict,25,その国では紛争が続いています。,분쟁,冲突,KEEP
紛争,2,5291,dispute *DIFF*,25,国境紛争は国際関係に深刻な影響を与える可能性があります。,분쟁,纠纷,DISCARD
返還,2,77,return,25,お金を返還してください。,반환,返还,KEEP
返還,2,5339,return,25,沖縄の土地の返還が実現した。,반환,返还,DISCARD
保管,2,78,store,25,書類を安全な場所に保管します。,보관합니다,保存,KEEP
保管,2,5380,charge *DIFF*,25,貴重品は金庫に保管してください。,보관,保管,DISCARD
募集,2,81,recruiting,25,ボランティアを募集しています。,모집,招募,KEEP
募集,2,1571,looking for *DIFF*,25,ボランティアを募集しています。,모집,招募,DISCARD
墓地,2,82,cemetery,25,墓地は静かです。,묘지,墓地,KEEP
墓地,2,5047,cemetery,25,墓地の近くに新しいアパートが建てられた。,묘지,墓地,DISCARD
崩壊,2,83,collapsed,25,建物が崩壊しました。,붕괴되었습니다,倒塌了,KEEP
崩壊,2,5355,collapse *DIFF*,25,その国の経済は急激なインフレにより崩壊寸前だ。,붕괴,崩溃,DISCARD
暴風,2,87,storm,25,暴風で木が倒れました。,폭풍,暴风,KEEP
暴風,2,5430,storm,25,暴風により多くの家屋が損傷し、停電も発生した。,폭풍,风暴,DISCARD
発作,2,89,Seizures,25,彼はたまに発作を起こします。,발작,发作,KEEP
発作,2,5397,fit *DIFF*,25,彼は突然、てんかんの発作を起こして倒れた。,발작,发作,DISCARD
没落,2,91,declined,25,その国は没落しました。,몰락했습니다,没落了,KEEP
没落,2,5438,ruin *DIFF*,25,彼の家は没落の一途を辿った。,몰락,没落,DISCARD
憂鬱,2,98,depressed,25,月曜日なので、少し憂鬱です。,우울,忧郁,KEEP
憂鬱,2,5684,depression *DIFF*,25,雨の日が続くと、何だか憂鬱な気分になる。,우울증,抑郁症,DISCARD
有益,2,99,beneficial,25,この本は有益です。,유익,有益的,KEEP
有益,2,5685,beneficial,25,この本は私にとって非常に有益な情報を提供してくれた。,유익한,有益的,DISCARD
幽霊,2,105,ghost,25,あの家には幽霊がいる。,유령,幽灵,KEEP
幽霊,2,5701,ghost,25,あの古い屋敷には幽霊が出ると噂されています。,유령,幽灵,DISCARD
様式,2,106,format,25,この書類は指定された様式で提出してください。,양식,格式,KEEP
様式,2,5719,style *DIFF*,25,この建物のデザインは、日本の伝統的な様式を取り入れています。,스타일,风格,DISCARD
預金,2,107,savings,25,私は銀行に預金があります。,예금,存款,KEEP
預金,2,5731,deposit *DIFF*,25,毎月給料の一部を預金しています。,예금,存款,DISCARD
流通,2,109,distributed,25,野菜は市場で流通しています。,유통,流通,KEEP
流通,2,5773,circulation of money or goods *DIFF*,25,商品の円滑な流通は経済成長に不可欠です。,화폐나 재화의 유통,货币或商品的流通,DISCARD
冷酷,2,112,cruel,25,彼​は​冷酷​な​人​です。,냉혹,冷酷的,KEEP
冷酷,2,5796,cruelty *DIFF*,25,彼の冷酷な態度は、多くの人々を深く傷つけた。,잔인함,残酷,DISCARD
朗読,2,117,read,25,彼女は本を朗読しました。,낭독했습니다,朗读,KEEP
朗読,2,5807,reading aloud *DIFF*,25,私は寝る前に子供に絵本を朗読してあげた。,낭독,朗读,DISCARD
悪どい,2,121,shady,25,彼らは悪どい商売をしている。,악랄한,恶劣的,KEEP
悪どい,2,1517,unscrupulous *DIFF*,25,あの店のやり方は悪どい。,악독하다,不地道,DISCARD
あどけない,2,123,innocent,25,彼女はあどけない笑顔を見せた。,순진한,清白的,KEEP
あどけない,2,1820,innocent,25,彼女はあどけない笑顔を見せた。,순진한,天真烂漫的,DISCARD
良い,2,126,good,25,天気(てんき)が良(よ)いです。,좋습니다,好,KEEP
良い,2,2682,good,25,これはとても良い考えですね。,좋은,好,DISCARD
忌々しい,2,131,annoyed,25,雨が降って、忌々しい気分です。,얄미운,烦,KEEP
忌々しい,2,2045,annoying *DIFF*,25,雨が降って、忌々しい。,얄미워,讨厌,DISCARD
美味しい,2,139,delicious,25,このケーキは美味しいです。,맛있어요,好吃,KEEP
美味しい,2,2894,delicious,25,このラーメンは本当に美味しいですね。,맛있다,好吃,DISCARD
可笑しい,2,140,funny,25,その話は可笑しいです。,웃겨요,可笑,KEEP
可笑しい,2,2917,strange *DIFF*,25,この機械、なんだか可笑しい動きをしている。,이상한,奇怪,DISCARD
大人しい,2,145,quiet,25,彼女は大人しいです。,얌전합니다,安静,KEEP
大人しい,2,2965,obedient *DIFF*,25,その犬はとても大人しくて、指示によく従う。,순종적인,顺从的,DISCARD
痒い,2,149,itchy,25,ここが痒いです。,가려워요,痒,KEEP
痒い,2,3151,itchy,25,蚊に刺されて足が痒い。,가려운,发痒的,DISCARD
可愛い,2,150,cute,25,猫は可愛い。,귀여워요,可爱,KEEP
可愛い,2,3163,pretty *DIFF*,25,この花は本当に可愛いですね。,예쁜,漂亮,DISCARD
下らない,2,155,pointless,25,それは下らない質問です。,쓸데없는,无聊的,KEEP
下らない,2,3431,good-for-nothing *DIFF*,25,そんな下らないことで悩むな。,쓸모없는 사람,废物,DISCARD
酸っぱい,2,171,sour,25,このレモンは酸っぱい。,시다,酸,KEEP
酸っぱい,2,4189,sour,25,このレモンはとても酸っぱいので、顔がすぼまってしまった。,신,酸,DISCARD
済まない,2,172,Sorry,25,ごめん、本当に済まない。,미안해,对不起,KEEP
済まない,2,4196,sorry (phrase) *DIFF*,25,済まない、君の誕生日をすっかり忘れてしまっていた。,죄송합니다,对不起,DISCARD
堪らない,2,186,can't stand it,25,この歌は本当に素晴らしいから、堪らない。,참을수없어,受不了,KEEP
堪らない,2,4462,intolerable *DIFF*,25,この暑さはもう堪らない。早く涼しくなってほしい。,참을 수 없는,无法忍受的,DISCARD
でかい,2,190,huge,25,あのケーキはでかいです。,커요,很大,KEEP
でかい,2,4720,huge,25,あの建物は本当にでかいね。,거대한,巨大,DISCARD
照れ臭い,2,192,embarrassed,25,褒められると、照れ臭いです。,쑥스럽습니다,不好意思,KEEP
照れ臭い,2,1857,embarrassed,25,褒められると、照れ臭い。,쑥스럽다,不好意思,DISCARD
何気ない,2,197,casual,25,何気ない一言が、人を傷つけることもある。,무심코,无心,KEEP
何気ない,2,4912,casual,25,彼の何気ない一言が、彼女の心を深く傷つけた。,캐주얼,休闲,DISCARD
生臭い,2,198,Fishy,25,この魚は少し生臭い。,비린내,腥,KEEP
生臭い,2,4919,smelling of fish or blood *DIFF*,25,捌いたばかりの魚は、まだ少し生臭い匂いがする。,생선이나 피 냄새가 나는,带着鱼腥味或血腥味,DISCARD
生温い,2,199,Lukewarm,25,生温いビールは美味しくない。,미지근한,不冷不热的,KEEP
生温い,2,4920,lukewarm,25,お風呂のお湯が生温くて、体が温まらなかった。,미지근한,温热的,DISCARD
酷い,2,208,terrible,25,それは酷い話です。,끔찍한,糟糕的,KEEP
酷い,2,5193,cruel *DIFF*,25,彼の酷い言葉に心が傷ついた。,잔인한,残忍,DISCARD
不味い,2,216,bad,25,このスープは不味いです。,맛이,很难喝,KEEP
不味い,2,5472,unappetising *DIFF*,25,この魚料理は見た目は豪華なのに、味が不味くてがっかりした。,맛없어 보이는,不开胃,DISCARD
眩しい,2,217,dazzling,25,太陽が眩しい。,눈부시다,耀眼,KEEP
眩しい,2,5490,dazzling,25,太陽の光がとても眩しいので、サングラスをかけました。,눈부신,耀眼的,DISCARD
みすぼらしい,2,220,shabby,25,彼の服はみすぼらしいです。,초라합니다,破旧,KEEP
みすぼらしい,2,1862,shabby,25,彼の服はみすぼらしいです。,초라합니다,破旧,DISCARD
みっともない,2,221,Embarrassing,25,そんなことを言うのは、みっともないです。,꼴불견이다,丢人,KEEP
みっともない,2,1860,shameful *DIFF*,25,そんなことを言うのは、みっともない。,창피하다,丢人,DISCARD
安っぽい,2,230,Cheap,25,このかばんは安っぽい。,싸구려,廉价,KEEP
安っぽい,2,5664,cheap-looking *DIFF*,25,このカバンはデザインはいいけど、素材が安っぽい。,싸구려 같은,看起来很廉价,DISCARD
地味,2,256,Plain,25,彼女の服は地味です。,수수함,朴素,KEEP
地味,2,2324,Plain,25,彼女の服は地味です。,수수,朴素,DISCARD
上手,2,259,good,25,彼女は日本語が上手です。,잘함,擅长,KEEP
上手,2,2849,upper part *DIFF*,25,川の上手には古い橋がかかっている。,윗부분,上部,DISCARD
出鱈目,2,271,Nonsense,25,彼の話は出鱈目だ。,엉터리,胡说八道,KEEP
出鱈目,2,4724,irresponsible utterance *DIFF*,25,彼の言っていることはいつも出鱈目で、誰も信用していません。,무책임한 발언,不负责任的言论,DISCARD
必要,2,279,necessary,25,水が必要です。,필요,需要,KEEP
必要,2,2157,necessary,25,水が必要です。,필요,需要,DISCARD
不便,2,282,inconvenient,25,ここにはコンビニがなくて、不便です。,불편합니다,不方便,KEEP
不便,2,5274,pity *DIFF*,25,このアパートは駅からのアクセスが不便です。,연민,同情,DISCARD
無邪気,2,293,innocently,25,赤ちゃんは無邪気に笑う。,순진하게,天真,KEEP
無邪気,2,5561,innocence *DIFF*,25,子供の無邪気さは、大人を癒します。,순수,天真,DISCARD
無茶苦茶,2,295,mess,25,彼の部屋は無茶苦茶だ。,엉망진창,乱七八糟,KEEP
無茶苦茶,2,5571,confused *DIFF*,25,彼の説明は無茶苦茶で、何を言っているのか全く分からなかった。,혼란스러운,困惑,DISCARD
滅茶苦茶,2,297,a complete mess,25,宿題が滅茶苦茶になった。,엉망진창,乱七八糟,KEEP
滅茶苦茶,2,5593,absurd *DIFF*,25,彼の言い分は滅茶苦茶で、誰も納得できなかった。,터무니없는,荒谬,DISCARD
商う,2,307,sells,25,彼は市場で野菜を商う。,판다,卖,KEEP
商う,2,2296,sell *DIFF*,25,店で物を商う。,팔다,卖,DISCARD
羨む,2,325,envy,25,彼女の才能を羨む。,부러워하다,羡慕,KEEP
羨む,2,2000,envy,25,私は彼女の才能を羨む。,부러워하다,羡慕,DISCARD
怒る,2,327,gets angry,25,妹は弟に怒る。,화를 낸다,生气,KEEP
怒る,2,2695,to get angry *DIFF*,25,彼は小さいことで怒るタイプです。,화내다,生气,DISCARD
収める·納める,2,328,null,25,箱に本を収める。,null,null,KEEP
収める·納める,2,964,put *DIFF*,25,箱に本を収める。,넣는다,放,DISCARD
惜しむ,2,329,regret,25,私は別れを惜しむ。,아쉬워한다,惋惜,KEEP
惜しむ,2,2937,to be frugal *DIFF*,25,彼は無駄な出費を惜しむ人だ。,검소하다,节俭,DISCARD
傾く,2,341,leaning,25,木が少し傾く。,기울다,倾斜,KEEP
傾く,2,3112,to incline toward *DIFF*,25,夕日が西に傾くと、あたりは薄暗くなった。,~쪽으로 기울다,倾向于,DISCARD
